category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance,row_id
both_unresolved,forkproc,/home/chukyu/t-rep/src/msg200d/msg200dCsvRq.c,197,pmf_forkprocdup_H,1,FORKPROC,(char *)dupname,,,"{""EXTERNAL"": 1}",,,{},False,,44
both_unresolved,forkproc,/home/chukyu/t-svm/src/libSvmManSt/SvmManStReport.c,53,pmf_forkproc_H,1,FORKPROC,SVM350,,,"{""UNREACHABLE"": 1}",,,{},False,,45
both_unresolved,forkproc,/home/chukyu/t-svm/src/libsvm/SvmOpReport.c,232,pmf_forkproc_H,1,FORKPROC,proc_name,,,"{""UNREACHABLE"": 1}",,,{},False,,46
both_unresolved,forkproc,/home/chukyu/t-svm/src/svm500d/svm500Main.c,217,pmf_forkprocbs_H,1,FORKPROC,rcpuname,,,"{""EXTERNAL"": 1}",rcpuname,,"{""UNRESOLVED"": 1}",True,t-svm/src/svm500d/svm500Main.c:7649 pmf_forkprocbs_H arg 1,47
both_unresolved,forkproc,/home/chukyu/t-svm/tool/svmsetq/svmsetq.c,146,pmf_forkproc_H,1,FORKPROC,proc_name,,,"{""EXTERNAL"": 1}",,,{},False,,48
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsg/MsgPtnGet.c,50,mpf_mfs_getrecm,1,GETREC,&fcb_def,2901,2901,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1929
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsg/MsgPtnGet.c,63,mpf_mfs_getrecm,1,GETREC,&fcb_con,2909,2909,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1930
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsg/MsgPtnGet.c,71,mpf_mfs_getrecm,1,GETREC,&fcb_ptn,2910,2910,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1931
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsg1/MsgChkFlg.c,79,mpf_mfs_readrecm,1,READREC,&fcb,2902,2902,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1932
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsg1/Msg_SetSendLg.c,72,mpf_mfs_readrecm,1,READREC,&fcb,2908,2908,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1933
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsg1/Msg_SetSendLg.c,96,mpf_mfs_writerecm,1,WRITEREC,&fcb,,,"{""UNREACHABLE"": 1, ""UNRESOLVED"": 1}",,,{},False,,1934
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,356,mpf_mfs_open_H,2,OPEN_LOCK,IDX_FNO,,,"{""UNREACHABLE"": 1}",,,{},False,,1935
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,360,mpf_mfs_readrec,1,READREC,&IDX_fcb,,,"{""UNREACHABLE"": 1}",,,{},False,,1936
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,469,mpf_mfs_readrec,1,READREC,&IDX_fcb,2913,2913,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1937
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,968,mpf_mfs_readrec,1,READREC,&IDX_fcb,2913,2913,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1938
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,974,mpf_mfs_readrec,1,READREC,&IDX_fcb,2913,2913,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,,1939
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1083,mpf_mfs_open_H,2,OPEN_LOCK,JOHEN_FNO,,,"{""UNREACHABLE"": 1}",,,{},False,,1940
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1098,mpf_mfs_readrecn,1,READREC,&johen_fcb,,,"{""UNREACHABLE"": 1}",,,{},False,,1941
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1171,mpf_mfs_writerec,1,WRITEREC,&fcb_result,,,"{""UNREACHABLE"": 1}",,,{},False,,1942
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1202,mpf_mfs_writerecn,1,WRITEREC,&fcb_result,,,"{""UNREACHABLE"": 1}",,,{},False,,1943
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1219,mpf_mfs_writerec,1,WRITEREC,&fcb_result,,,"{""UNREACHABLE"": 1}",,,{},False,,1944
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1378,mpf_mfs_readrec,1,READREC,&fcb_result,,,"{""UNREACHABLE"": 1}",,,{},False,,1945
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1388,mpf_mfs_writerec,1,WRITEREC,&fcb_print,,,"{""UNREACHABLE"": 1}",,,{},False,,1946
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1408,mpf_mfs_readrecn,1,READREC,&fcb_result,,,"{""UNREACHABLE"": 1}",,,{},False,,1947
both_unresolved,mfs_file,/home/chukyu/t-rep/src/libmsgreq/msgrequest.c,1410,mpf_mfs_writerecn,1,WRITEREC,&fcb_print,,,"{""UNREACHABLE"": 1}",,,{},False,,1948
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepGN3MGet.c,47,mpf_mfs_open_H,2,OPEN_LOCK,RepManageNo,,,"{""UNREACHABLE"": 1}",,,{},False,,1949
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepGN3MGet.c,53,mpf_mfs_readrec,1,READREC,&fcb_kanri_onl,,,"{""UNREACHABLE"": 1}",,,{},False,,1950
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepGN3MGet.c,63,mpf_mfs_open_H,2,OPEN_LOCK,fileno,,,"{""UNREACHABLE"": 1}",,,{},False,,1951
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepGN3MGet.c,69,mpf_mfs_readrec,1,READREC,&fcb_seigyo,,,"{""UNREACHABLE"": 1}",,,{},False,,1952
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepSojuyoGet.c,68,mpf_mfs_open_H,2,OPEN_LOCK,RepManageNo,,,"{""UNREACHABLE"": 1}",,,{},False,,1953
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepSojuyoGet.c,74,mpf_mfs_readrec,1,READREC,&fcb_kanri_onl,,,"{""UNREACHABLE"": 1}",,,{},False,,1954
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepSojuyoGet.c,99,mpf_mfs_open_H,2,OPEN_LOCK,fileno,,,"{""UNREACHABLE"": 1}",,,{},False,,1955
both_unresolved,mfs_file,/home/chukyu/t-rep/src/librep/RepSojuyoGet.c,105,mpf_mfs_readrec,1,READREC,&fcb_juden,,,"{""UNREACHABLE"": 1}",,,{},False,,1956
both_unresolved,mfs_file,/home/chukyu/t-rep/src/msg001/msg001ClrDvd.c,112,mpf_mfs_readrec,1,READREC,&MngFcb,,,"{""UNREACHABLE"": 1}",,,{},False,,1957
both_unresolved,mfs_file,/home/chukyu/t-rep/src/msg001/msg001ClrDvd.c,126,mpf_mfs_writerec,1,WRITEREC,&MngFcb,,,"{""UNREACHABLE"": 1}",,,{},False,,1958
legacy_resolved_only,mfs_file,/home/chukyu/t-rep/src/msg001/msg001MakeIDX.c,76,mpf_mfs_copyfile,2,COPYFILE_FROM,fileinf[i].indexdno,,,"{""UNRESOLVED"": 1}",MsgIndexDDNo; fileinf[i].indexdno,2903,"{""ADDED"": 1, ""OK_CONST"": 1}",True,t-rep/src/msg001/msg001MakeIDX.c:3229 mpf_mfs_copyfile arg 2,1959
legacy_resolved_only,mfs_file,/home/chukyu/t-rep/src/msg001/msg001MakeIDX.c,76,mpf_mfs_copyfile,6,COPYFILE_TO,fileinf[i].indexmno,,,"{""UNRESOLVED"": 1}",MsgIndexNo; fileinf[i].indexmno,2902,"{""ADDED"": 1, ""OK_CONST"": 1}",True,t-rep/src/msg001/msg001MakeIDX.c:3229 mpf_mfs_copyfile arg 6,1960
legacy_resolved_only,mfs_file,/home/chukyu/t-rep/src/msg001/msg001MakeIDX.c,99,mpf_mfs_open,3,READ,fileinf[i].jhenfno,,,"{""UNRESOLVED"": 1}",MsgJohenNo; fileinf[i].jhenfno,2904,"{""ADDED"": 1, ""OK_CONST"": 1}",True,t-rep/src/msg001/msg001MakeIDX.c:4234 mpf_mfs_open arg 3,1961
both_unresolved,mfs_file,/home/chukyu/t-rep/src/msg001/msg001MakeIDX.c,117,mpf_mfs_readrecn,1,READREC,&fcb_johen,,,"{""UNRESOLVED"": 1}",&fcb_johen,,"{""OK_CONST"": 1}",True,t-rep/src/msg001/msg001MakeIDX.c:4891 mpf_mfs_readrecn handle 1,1962
