category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance,row_id
both_unresolved,forkproc,/home/chukyu/t-dyn/src/dyn600/dyn600MainProc.c,1262,pmf_forkprocbs_H,1,FORKPROC,rcpuname,,,"{""EXTERNAL"": 1}",rcpuname,,"{""UNRESOLVED"": 1}",True,t-dyn/src/dyn600/dyn600MainProc.c:48969 pmf_forkprocbs_H arg 1,9
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,195,mpf_mfs_open_H,2,READ,DynReCtlStaFNO,3919,3919,"{""EXACT"": 1}",DynReCtlStaFNO,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn234d/dyn234dAdvCtl.c:6113 mpf_mfs_open_H arg 2,705
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,204,mpf_mfs_readrecn,1,READREC,&fcb_ReEne,3919,3919,"{""EXACT"": 1}",&fcb_ReEne,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn234d/dyn234dAdvCtl.c:6113 mpf_mfs_open_H arg 2 > t-dyn/src/dyn234d/dyn234dAdvCtl.c:6324 mpf_mfs_readrecn handle 1,706
disjoint,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,208,mpf_mfs_open_H,2,READ,iFnoInd,3946; 3983,3946; 3983,"{""EXACT"": 2}",DynAdvCtlStaITkFNO; iFnoInd,3914,"{""ADDED"": 1, ""OK_CONST"": 2}",True,t-dyn/src/dyn234d/dyn234dAdvCtl.c:6486 mpf_mfs_open_H arg 2,707
disjoint,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,216,mpf_mfs_readrecn,1,READREC,&fcb_AdvInd,3946; 3983,3946; 3983,"{""EXACT"": 2}",&fcb_AdvInd; DynAdvCtlStaITkFNO,3914,"{""ADDED"": 1, ""OK_CONST"": 2}",True,t-dyn/src/dyn234d/dyn234dAdvCtl.c:6486 mpf_mfs_open_H arg 2 > t-dyn/src/dyn234d/dyn234dAdvCtl.c:6677 mpf_mfs_readrecn handle 1,708
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,407,mpf_mfs_open_H,2,READ,iFnoInd,3946; 3983,3946; 3983,"{""EXACT"": 2}",,,{},False,,709
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,415,mpf_mfs_readrecn,1,READREC,&fcb_AdvInd,3946; 3983,3946; 3983,"{""EXACT"": 2}",,,{},False,,710
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,446,mpf_mfs_open_H,2,WRITE,iFnoInd,3946; 3983,3946; 3983,"{""EXACT"": 2}",,,{},False,,711
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,455,mpf_mfs_writerecn,1,WRITEREC,&fcb_AdvInd,3946; 3983,3946; 3983,"{""EXACT"": 2}",,,{},False,,712
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,559,mpf_mfs_readrecn,1,READREC,&fcb_AdvCmn,3913,3913,"{""EXACT"": 1}",,,{},False,,713
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn234d/dyn234dAdvCtl.c,573,mpf_mfs_readrecn,1,READREC,&fcb_AdvCmn,1037,1037,"{""EXACT"": 1}",,,{},False,,714
