category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance,row_id
both_unresolved,forkproc,/home/chukyu/t-dxi/src/dxi400d/dxi400d_main.c,278,pmf_forkprocbs_H,1,FORKPROC,cpname,,,"{""EXTERNAL"": 1}",cpname,,"{""UNRESOLVED"": 1}",True,t-dxi/src/dxi400d/dxi400d_main.c:10723 pmf_forkprocbs_H arg 1,5
both_unresolved,forkproc,/home/chukyu/t-dxi/src/dxi400d/dxi400d_main.c,296,pmf_forkprocbs_H,1,FORKPROC,cpname,,,"{""EXTERNAL"": 1}",cpname,,"{""UNRESOLVED"": 1}",True,t-dxi/src/dxi400d/dxi400d_main.c:11646 pmf_forkprocbs_H arg 1,6
both_unresolved,forkproc,/home/chukyu/t-dxi/src/libdxiinside/dxi_dblcirreq.c,100,pmf_forkproc_H,1,FORKPROC,prcname,,,"{""EXTERNAL"": 1, ""UNREACHABLE"": 1}",,,{},False,,7
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001ClrCaseMan.c,106,mpf_mfs_readrecm,1,READREC,&sCaseManFcb,2836,2836,"{""EXACT"": 1}",&sCaseManFcb; ChaCaseManageNo,2836,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001ClrCaseMan.c:3381 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001ClrCaseMan.c:3630 mpf_mfs_readrecm handle 1,67
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001ClrCaseMan.c,147,mpf_mfs_writerecm,1,WRITEREC,&sCaseManFcb,2836,2836,"{""EXACT"": 1}",&sCaseManFcb; ChaCaseManageNo,2836,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001ClrCaseMan.c:3381 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001ClrCaseMan.c:4904 mpf_mfs_writerecm handle 1,68
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001Main.c,171,mpf_mfs_readrecm,1,READREC,&recman_fcb,2839,2839,"{""EXACT"": 1}",&recman_fcb; ChaRecManageNo,2839,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001Main.c:5511 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001Main.c:5769 mpf_mfs_readrecm handle 1,69
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001Main.c,177,mpf_mfs_writerecm,1,WRITEREC,&recman_fcb,2839,2839,"{""EXACT"": 1}",&recman_fcb; ChaRecManageNo,2839,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001Main.c:5511 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001Main.c:6023 mpf_mfs_writerecm handle 1,70
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001Main.c,227,mpf_mfs_readrecm,1,READREC,&recman_fcb,2839,2839,"{""EXACT"": 1}",&recman_fcb; ChaRecManageNo,2839,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001Main.c:7406 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001Main.c:7572 mpf_mfs_readrecm handle 1,71
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001Main.c,283,mpf_mfs_writerecm,1,WRITEREC,&recman_fcb,2839,2839,"{""EXACT"": 1}",&recman_fcb; ChaRecManageNo,2839,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001Main.c:9414 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001Main.c:9581 mpf_mfs_writerecm handle 1,72
equal,mfs_file,/home/chukyu/t-cha/src/cha001/cha001Main.c,356,mpf_mfs_readrecm,1,READREC,&recman_fcb,2839,2839,"{""EXACT"": 1}",&recman_fcb; ChaRecManageNo,2839,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001Main.c:11894 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001Main.c:12060 mpf_mfs_readrecm handle 1,73
