category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance
both_unresolved,forkproc,/home/chukyu/t-tmm/src/libtmm/TmmInput.c,472,pmf_forkprocbs_H,1,FORKPROC,mcs_b.cpuname,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/libtmm/TmmInput.c,490,pmf_forkprocbs_H,1,FORKPROC,mcs_a.cpuname,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/libtmm/TmmInput.c,504,pmf_forkprocbs_H,1,FORKPROC,mcs_b.cpuname,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/libtmm/TmmInputK.c,105,pmf_forkprocbs_H,1,FORKPROC,kds_a.cpuname,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/libtmm/TmmInputK.c,115,pmf_forkprocbs_H,1,FORKPROC,kds_b.cpuname,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/tmm000/tmm000_deamon.c,56,pmf_forkproc_H,1,FORKPROC,tmm000_prc[cpukind][i].prgname,,,"{""EXTERNAL"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/tmm200d/tmm200d_trans.c,297,pmf_forkprocbs_H,1,FORKPROC,name1,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-tmm/src/tmm200d/tmm200d_trans.c,340,pmf_forkprocbs_H,1,FORKPROC,name2,,,"{""UNREACHABLE"": 1}",,,{},False,
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha001/cha001ClrCaseMan.c,106,mpf_mfs_readrecm,1,READREC,&sCaseManFcb,,,"{""UNREACHABLE"": 1}",&sCaseManFcb; ChaCaseManageNo,2836,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001ClrCaseMan.c:3381 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001ClrCaseMan.c:3630 mpf_mfs_readrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha001/cha001ClrCaseMan.c,147,mpf_mfs_writerecm,1,WRITEREC,&sCaseManFcb,,,"{""UNREACHABLE"": 1}",&sCaseManFcb; ChaCaseManageNo,2836,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha001/cha001ClrCaseMan.c:3381 mpf_mfs_openm_H arg 2 > t-cha/src/cha001/cha001ClrCaseMan.c:4904 mpf_mfs_writerecm handle 1
